handleId,fieldType,name,description,productImageUrl,collection,sku,price,inventory,weight,visible,ribbon,surcharge,discountMode,discountValue,productOptionName,productOptionType,productOptionDescription,additionalInfoTitle,Additional info description,customTextField,customTextCharLimit,customTextMandatory
beach_5,Product,At the beach every ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_5.jpg,beach,beach_5,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_6,Product,Beach House,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_6.jpg,beach,beach_6,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_7,Product,Beach Please,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_7.jpg,beach,beach_7,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_8,Product,Beach dont kill My Vibe,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_8.jpg,beach,beach_8,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_9,Product,Beaches Be Crazy,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_9.jpg,beach,beach_9,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_10,Product,Beauty and the Beach,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_10.jpg,beach,beach_10,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_11,Product,Best escape ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_11.jpg,beach,beach_11,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_12,Product,Call me on my Shell,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_12.jpg,beach,beach_12,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_13,Product,Dream higher than ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_13.jpg,beach,beach_13,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_14,Product,Eat Sleep Beach Repeat,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_14.jpg,beach,beach_14,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_15,Product,Girls just wanna have sun,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_15.jpg,beach,beach_15,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_16,Product,Happiness is a day ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_16.jpg,beach,beach_16,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_17,Product,Hello Summer,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_17.jpg,beach,beach_17,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_18,Product,High Tides and Good Vibes,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_18.jpg,beach,beach_18,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_19,Product,I Need Vitamin Sea,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_19.jpg,beach,beach_19,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
